"品类","产品名称","品牌","规格型号","单位","面价（元）","批发价（元）","批发条件","核心参数","适用场景","搭配推荐","常见问题","状态"
"修补材料","冷补料（普通型沥青冷补料）","路修宝","25kg/袋","袋","38","30","≥100袋","常温施工，无需加热；建议修补厚度3-5cm；适合小面积坑槽；压实后可较快开放轻载交通；适合常见市政道路小修补场景","市政道路坑槽修补、园区道路、停车场局部修补","乳化沥青底涂、手扶夯、平板夯","冷补料铺完多久能通车？小面积坑槽压实后可先开放轻载交通，重载车辆建议充分压实并观察成型情况。","在售"
"修补材料","冷补料（高粘抗水型）","路修宝","25kg/袋","袋","48","39","≥100袋","高粘结型，雨后潮湿基层可应急修补；建议清除明水和浮灰；压实密度越高耐久性越好","雨季道路应急抢修、井盖周边、桥面局部修补","界面粘结剂、乳化沥青底涂、压实工具","下雨天能用冷补料吗？可用于潮湿基层应急修补，但不能在积水坑内直接施工，需先排水清理。","在售"
"修补材料","冷补料（重载道路型）","路修宝","50kg/袋","袋","86","70","≥50袋","粗细集料级配更适合较深坑槽；建议分层摊铺分层压实；单层厚度不宜过厚","物流园、厂区道路、公交站台、重载车道坑槽修补","乳化沥青底涂、压路机、小型夯实机","大坑槽能一次倒满吗？不建议，超过5cm建议分层摊铺压实，否则后期容易松散沉降。","在售"
"修补材料","冷补料（冬季低温型）","路修宝","25kg/袋","袋","55","45","≥80袋","适合低温季节应急修补；低温下仍保持一定和易性；施工前建议室内存放回温","冬季道路抢修、北方市政养护、低温停车场修补","乳化沥青底涂、喷灯预热工具","冬天冷补料会不会硬得铺不开？低温型和易性更好，极低温时建议材料提前回温并清理冰雪。","在售"
"修补材料","冷补料（彩色路面修补料）","彩路通","25kg/袋","袋","78","62","≥50袋","彩色骨料和树脂/沥青体系；颜色可选红、绿、灰；用于景观路面小修补","景区道路、学校操场周边、非机动车道、人行慢行系统","彩色封层材料、界面剂","彩色冷补料和普通冷补料区别是什么？主要是颜色和面层观感不同，适合对外观有要求的慢行路面。","在售"
"修补材料","沥青裂缝灌缝胶","路修宝","20kg/箱","箱","160","128","≥20箱","热熔型灌缝；适用于3-15mm裂缝；低温柔性好；灌缝前需清缝干燥","沥青路面裂缝封闭、机场/园区道路预防性养护","开槽机、灌缝机、清缝吹风机","裂缝是用冷补料还是灌缝胶？细裂缝用灌缝胶，坑槽或破损面才用冷补料。","在售"
"保温材料/防水材料","聚氨酯喷涂（屋面保温防水一体）","华能","厚度30mm","m²","98","78","≥1000m²","闭孔硬泡体系；导热系数0.024W/(m·K)级；连续喷涂无接缝；兼具保温和辅助防水；需现场专业设备施工","屋面保温防水一体化、冷库屋面、旧屋面节能改造","聚氨酯底涂、聚脲/丙烯酸保护层","聚氨酯喷涂能直接外露吗？不建议长期裸露，通常需要做抗紫外保护层或面层防护。","在售"
"保温材料/防水材料","聚氨酯喷涂（冷库高密度型）","华能","厚度50mm","m²","156","125","≥800m²","高闭孔率硬泡；保温性能好；现场连续成型；对基层含水率和温度敏感","冷库墙体、冷藏车间、恒温仓库、粮库保温","防潮隔汽层、聚氨酯底涂、金属压型板","冷库为什么常用聚氨酯？它导热系数低、闭孔率高，连续喷涂可减少热桥和冷凝风险。","在售"
"保温材料","聚氨酯板材（PUR）","北鹏","50mm","m²","88","70","≥500m²","导热系数0.024W/(m·K)级；轻质保温；可做企口；燃烧性能按项目要求选择B1/B2","冷库墙体、屋面夹芯板、设备保温","密封胶、金属连接件、防潮膜","PUR板和PIR板怎么选？PUR价格更友好，PIR耐热和阻燃表现通常更好。","在售"
"保温材料","聚氨酯板材（PIR阻燃型）","北鹏","75mm","m²","132","108","≥500m²","PIR体系，耐热和阻燃性能优于普通PUR；适合对防火更敏感的围护系统","冷库、工业厂房屋面、洁净车间围护","密封胶、金属连接件、压型钢板","PIR板适合高温环境吗？相对PUR耐热更好，但仍需按设计温度和防火要求选型。","在售"
"保温材料","石墨EPS保温板","北鹏","50mm/m³约18kg","m²","42","34","≥1000m²","添加石墨红外阻隔材料；导热系数通常低于普通EPS；轻质、性价比高；燃烧性能需配套防火构造","多层建筑外墙外保温、旧楼节能改造","粘结砂浆、抹面砂浆、网格布、锚栓","石墨EPS比普通EPS好在哪？保温性能更好，同等节能要求下可适当降低厚度。","在售"
"保温材料","EPS保温板（普通模塑板）","北鹏","50mm/m³约18kg","m²","30","24","≥1000m²","轻质经济；导热系数0.039W/(m·K)级；抗压和防火表现低于XPS和岩棉","低层外墙保温、包装保温、临建保温","粘结砂浆、抹面砂浆、网格布","EPS和XPS有什么区别？EPS更经济、吸水率和抗压一般；XPS抗压和防潮性能更好。","在售"
