品类,产品名称,品牌,规格型号,单位,面价（元）,批发价（元）,批发条件,核心参数,适用场景,搭配推荐,常见问题,状态
保温材料,挤塑板（XPS）,北鹏,30mm,m²,28,22,≥1000m²,"导热系数≤0.030W/(m·K)，抗压强度≥200kPa，密度≥35kg/m³，B1级防火，吸水率≤1.0%",外墙保温、屋面保温、地面防潮,结构胶、界面砂浆,XPS板容重多少？能承受多大压力？30mmXPS板密度约35-38kg/m³，抗压强度200-300kPa，可承受人行走和一般荷载。,在售
保温材料,挤塑板（XPS）,北鹏,50mm,m²,38,30,≥1000m²,"导热系数≤0.030W/(m·K)，抗压强度≥250kPa，密度≥38kg/m³，B1级防火，吸水率≤1.0%",外墙保温、冷库保温、地面防潮,"结构胶、界面砂浆、网格布",50mm的板子比30mm的保温效果好多少？50mmXPS热阻约1.67(m²·K)/W，比30mm的1.0提升约67%，寒冷地区建议用50mm以上。,在售
保温材料,挤塑板（XPS）,华能,75mm,m²,52,42,≥800m²,"导热系数≤0.028W/(m·K)，抗压强度≥300kPa，密度≥40kg/m³，B1级防火",寒冷地区外墙保温、冷库地面,"结构胶、界面砂浆、锚固件",75mmXPS板运输方便吗？75mm板标准尺寸1200×600mm，可直接物流发货，注意避免重压。,在售
保温材料,挤塑板（XPS）,华能,100mm,m²,68,55,≥500m²,"导热系数≤0.028W/(m·K)，抗压强度≥300kPa，密度≥42kg/m³，B1级防火",严寒地区外墙保温、冷库墙体、冻土路基,"结构胶、界面砂浆、锚固件",100mmXPS板一平方多重？100mmXPS密度约42kg/m³，每平方约4.2kg，重量很轻。,在售
保温材料,挤塑板（XPS）,鲁阳,50mm,m²,35,28,≥1000m²,"导热系数≤0.030W/(m·K)，抗压强度≥250kPa，密度≥36kg/m³，B1级防火",外墙外保温系统、倒置式屋面,"粘结砂浆、抹面砂浆",XPS和EPS有什么区别？XPS抗压强度更高、吸水率更低，适合潮湿环境和承重地面；EPS价格更低但强度和防潮性不如XPS。,在售
保温材料,岩棉板,泰石岩,50mm/80kg/m³,m²,25,18,≥500m²,"导热系数≤0.044W/(m·K)，A级防火，密度80kg/m³，渣球含量≤10%",幕墙填充、管道保温,铝箔胶带、锚固件,岩棉板密度80够用吗？80kg/m³适用于幕墙填充和管道保温，外墙外保温系统建议100kg/m³以上。,在售
保温材料,岩棉板,泰石岩,50mm/100kg/m³,m²,30,24,≥500m²,"导热系数≤0.040W/(m·K)，A级防火，密度100kg/m³，抗拉强度≥7.5kPa","外墙防火保温、防火隔离带","网格布、抹面砂浆、锚固件",岩棉板防火等级是什么？能用在外墙吗？岩棉板为A级不燃材料，耐温1000℃以上，完全适用于外墙外保温系统，高层建筑必须使用A级材料。,在售
保温材料,岩棉板,洛科威,50mm/120kg/m³,m²,36,28,≥500m²,"导热系数≤0.038W/(m·K)，A级防火，密度120kg/m³，抗拉强度≥10kPa","外墙外保温系统（高要求项目）、幕墙系统","网格布、抹面砂浆、锚固件",120容重的岩棉板比100的好在哪？120容重抗拉强度更高（≥10kPa），适合高层建筑外保温系统，安全系数更高。,在售
保温材料,岩棉板,洛科威,100mm/120kg/m³,m²,62,50,≥500m²,"导热系数≤0.038W/(m·K)，A级防火，密度120kg/m³，抗拉强度≥10kPa","外墙外保温（寒冷地区）、工业厂房保温","网格布、抹面砂浆、锚固件",100mm岩棉板一平方多重？100mm×120kg/m³=12kg/m²，比较重，安装时需要足够的锚固件数量，每平米不少于6个。,在售
保温材料,岩棉板,鲁阳,100mm/140kg/m³,m²,72,58,≥300m²,"导热系数≤0.036W/(m·K)，A级防火，密度140kg/m³，抗拉强度≥12kPa","高强度外墙保温、船舶保温、工业高温管道","锚固件、耐碱网格布",140容重岩棉板适用什么场景？140容重属于高密度岩棉，抗拉强度高，适用于船舶、工业设备、高要求外墙等特殊场景。,在售
保温材料,橡塑板,华美,10mm,m²,18,14,≥500m²,"导热系数≤0.034W/(m·K)，B1级难燃，闭孔结构，湿阻因子≥3000，使用温度-40~105℃",空调风管保温、管道保温,橡塑专用胶水,橡塑板耐温范围是多少？能用在室外吗？橡塑板耐温-40℃~105℃，不建议裸露用于室外，室外使用需加铝箔或彩钢板保护层。,在售
保温材料,橡塑板,华美,20mm,m²,28,22,≥500m²,"导热系数≤0.034W/(m·K)，B1级难燃，闭孔结构，湿阻因子≥3000",空调风管保温、冷冻水管保温,"橡塑专用胶水、铝箔胶带",橡塑板20mm够用吗？20mm是空调风管保温常用厚度，冷冻水管建议30mm以上，具体需根据管径和温差计算。,在售
保温材料,橡塑板,神州,30mm,m²,38,30,≥500m²,"导热系数≤0.034W/(m·K)，B1级难燃，闭孔结构，带铝箔贴面","中央空调风管、冷冻水管保温","橡塑专用胶水、铝箔胶带",带铝箔和不带铝箔有什么区别？铝箔贴面可反射辐射热、提供额外防护和美观效果，室外或明装管道建议选用带铝箔的。,在售
保温材料,橡塑板,赢胜,25mm,m²,32,25,≥500m²,"导热系数≤0.033W/(m·K)，B1级难燃，闭孔结构，抗菌防霉","洁净空调系统风管、制药车间管道","橡塑专用胶水",橡塑板会发霉吗？优质橡塑板添加了抗菌防霉剂，在干燥环境下不会发霉，但潮湿环境需确保密封完好。,在售
保温材料,橡塑管,华美,DN25×20mm,根,8,6,≥200根,"导热系数≤0.034W/(m·K)，B1级难燃，管长2m/根，内径22mm","水管保温、空调铜管保温","橡塑专用胶水、铝箔胶带",橡塑管每根多长？能定做吗？标准长度2m/根，部分厂家支持1m或1.5m定做，但需起订量，一般≥1000根。,在售
保温材料,橡塑管,华美,DN50×25mm,根,15,12,≥200根,"导热系数≤0.034W/(m·K)，B1级难燃，管长2m/根，内径50mm","冷冻水管、热水管保温","橡塑专用胶水、铝箔胶带",DN50对应多大管径？DN50对应公称直径50mm，外径约57mm（普通管）或60mm（加厚管），选购橡塑管内径应匹配管道外径。,在售
保温材料,橡塑管,神州,DN100×30mm,根,35,28,≥100根,"导热系数≤0.034W/(m·K)，B1级难燃，管长2m/根，内径108mm","大型冷冻水管、工业管道保温","橡塑专用胶水、铝箔胶带",DN100橡塑管保温厚度怎么选？DN100管道建议保温厚度25-30mm，冷冻水系统建议30mm以上，热水系统可选25mm。,在售
保温材料,橡塑管,赢胜,DN25×15mm,根,6,5,≥300根,"导热系数≤0.033W/(m·K)，B1级难燃，管长2m/根，内径22mm","家用空调铜管保温、冷媒管保温","橡塑专用胶水",15mm厚度够用吗？家用空调铜管15mm厚度基本够用，冷媒管保温主要是防结露，15mm可满足一般工况。,在售
保温材料/防水材料,聚氨酯喷涂,万华,厚度30-50mm,m²,85,65,≥2000m²,"导热系数≤0.024W/(m·K)，密度35-55kg/m³，粘结强度≥100kPa，闭孔率≥92%","屋面保温防水一体化、外墙保温、冷库保温",配套底涂,聚氨酯喷涂要几天能干？需要什么条件？喷涂后表干约30分钟，完全固化24小时，施工温度需5℃以上，风力≤5级，雨天禁止施工。,在售
保温材料/防水材料,聚氨酯喷涂,巴斯夫,厚度50-80mm,m²,120,95,≥1500m²,"导热系数≤0.022W/(m·K)，密度40-60kg/m³，粘结强度≥120kPa，闭孔率≥95%","冷库保温、工业储罐保温、屋面保温",配套底涂,聚氨酯喷涂环保吗？正规厂家产品已使用环保发泡剂（HFC-245fa或HFO），无CFC/HCFC，施工时需通风，固化后无毒无害。,在售
保温材料/防水材料,聚氨酯板材（PIR）,万华,50mm,m²,55,42,≥500m²,"导热系数≤0.022W/(m·K)，B1级难燃，密度40-50kg/m³，双面彩钢板","冷库墙体、净化车间墙体","密封胶、金属连接件",聚氨酯板材和喷涂哪个好？板材施工更简单、质量更稳定，适合规则平面；喷涂适合异形面和复杂节点，整体性更好。,在售
保温材料/防水材料,聚氨酯板材（PIR）,大佳,75mm,m²,72,58,≥500m²,"导热系数≤0.022W/(m·K)，B1级难燃，密度45-55kg/m³，双面彩钢板","大型冷库、冷链仓库","密封胶、金属连接件、自攻螺钉",75mm聚氨酯板材防火等级够吗？PIR板材可达到B1级难燃，离火自熄，满足一般工业建筑防火要求；特殊场所可定制A级复合板。,在售
保温材料/防水材料,聚氨酯板材（PUR）,大佳,100mm,m²,95,78,≥300m²,"导热系数≤0.020W/(m·K)，B2级可燃，密度40-50kg/m³，双面彩钢板","超低温冷库（-30℃以下）、液化气储罐保温","密封胶、专用连接件",PUR和PIR有什么区别？PUR保温性能略好但防火等级B2级；PIR防火可达B1级。有防火要求的项目选PIR。,在售
粘接材料,结构胶,道康宁（陶氏）,590ml/支,支,65,52,≥50支,"拉伸粘结强度≥0.6MPa，位移能力±25%，固化时间24-72h，适用温度5-40℃，硅酮结构胶","保温板粘贴、石材干挂、幕墙粘接","专用胶枪、界面剂",结构胶多久能干？冬天能用吗？表干约30分钟，完全固化需24-72小时（视温湿度）。5℃以下固化极慢，建议加温或选用冬季配方；0℃以下不建议施工。,在售
粘接材料,结构胶,之江,590ml/支,支,45,36,≥50支,"拉伸粘结强度≥0.6MPa，位移能力±25%，固化时间24-72h，适用温度5-40℃，硅酮结构胶","保温板粘贴、石材干挂、幕墙粘接","专用胶枪、界面剂",之江结构胶质量可靠吗？之江是国内结构胶龙头企业，产品通过国家检测，广泛用于国内大型工程项目，性价比较高。,在售
粘接材料,结构胶,硅宝,590ml/支,支,42,34,≥50支,"拉伸粘结强度≥0.6MPa，位移能力±20%，固化时间24-72h，适用温度5-40℃，硅酮结构胶","保温板粘贴、门窗密封、幕墙粘接","专用胶枪、界面剂",结构胶590ml能打多长？590ml胶条按10mm×10mm截面计算，约可打5-6米，实际用量取决于缝隙大小和施工手法。,在售
