政策类型,适用范围,具体规则,时效,备注
退换货,全部在售产品,"未拆封、不影响二次销售，7天内可申请无理由退货；15天内可换货。运费由买方承担。",退货7天，换货15天,需提供订单编号
退换货,保温板材类,"已切割使用的板材不支持退换。整包/整件未开封可退换。",退货7天，换货15天,签收时请当面验货
破损理赔,全部产品,"签收时发现外包装破损，请当场拍照并拒收。已签收后48小时内发现破损，提供照片可申请理赔。",签收后48小时内申请,照片需包含外包装+破损产品+运单号
破损理赔,保温板材类,"板材破损率≤3%为正常损耗，超过3%部分可申请补发或退款。",签收后72小时内反馈,需提供破损数量统计
质量投诉,全部产品,"产品存在质量问题（如参数不达标、外观缺陷），提供检测报告或现场照片，经核实后全额退款或换货。",收货后30天内,质量问题由卖方承担运费
质量投诉,防水材料,"防水涂料施工后出现开裂、起泡等质量问题，需提供施工工艺说明，我方技术员现场确认后处理。",施工后60天内,需保留施工记录
质保,保温材料,"正常使用条件下，保温材料质保5年。质保期内出现性能衰减（导热系数超标），免费更换。",5年,需提供施工记录和使用环境说明
质保,防水涂料,"正常使用条件下，防水涂料质保3年。质保期内出现渗漏，免费修补或退款。",3年,需由专业人员施工并提供施工记录
质保,结构胶,"未开封产品质保期12个月。开封后请在6个月内使用完毕。",12个月（未开封）,"存储条件：阴凉干燥处，5-25℃"
退款,全部产品,"退款申请审核通过后，3-5个工作日原路退回。银行转账退款需提供准确银行账户信息。",审核通过后3-5个工作日,退款金额不含已产生的运费
退款,团购/批发订单,"批发订单（金额≥5000元）退款需财务审批，处理时间可能延长至7个工作日。",审核通过后5-7个工作日,大额退款需签署退款确认书
