政策类型,适用范围,具体规则,时效,备注
退换货,冷补料（沥青冷拌料）,"未开封、未受潮结块的冷补料支持退换；已开袋、已摊铺、已压实的材料不支持无理由退换。因项目用量估算误差产生的退货，需保持原包装完整。",签收后7天内申请,退货运费由买方承担；批量订单需核对批号
退换货,聚氨酯喷涂工程,"聚氨酯喷涂属于现场施工服务，施工完成后不支持按材料退货。若未开工且材料未进场，可按合同约定取消或调整施工面积。",开工前24小时可申请调整,已发生的人员、设备、运输费用需单独核算
退换货,防水卷材,"整卷未开封、未裁切、未污染的防水卷材可申请退换；已裁切、已热熔、已湿铺或背胶污染的卷材不支持退换。",签收后7天内申请,退货需保留卷材标签、合格证和批次信息
退换货,防水涂料,"未开封且在保质期内的防水涂料可申请退换；已开桶、已兑水、已搅拌或双组分已混合的产品不支持退换。",签收后7天内申请,双组分产品需整组退换，不支持单桶退换
退换货,砂浆/瓷砖胶/粉料,"未开袋、未受潮、未结块的粉料可申请退换；包装破损、受潮结块、超过保质期或现场存放不当的不支持退换。",签收后7天内申请,雨季收货需注意防潮存放
退换货,密封胶/结构胶,"未开封且在保质期内的胶类产品可退换；已开支、胶嘴切开、超过保质期或存储温度不符合要求的不支持退换。",签收后7天内申请,结构胶需保留批号以便追溯
破损理赔,保温板材,"板材运输中少量边角破损按合理损耗处理；若破损面积或数量明显超过合理范围，需提供整托照片、破损细节照片和到货签收记录。",签收后24小时内反馈,建议到货时当场验货并备注异常
破损理赔,防水卷材,"卷材外包装破损、卷芯变形、卷材被刺穿或污染时，应在签收时拍照备注；已施工后发现的外观破损需结合现场记录判定责任。",签收后24小时内反馈,照片需包含物流单号和产品批次
破损理赔,防水涂料/液体材料,"桶体破裂、渗漏、封口异常需在签收时拍照并保留外包装；因倒置堆放、暴晒或现场二次搬运造成的渗漏不纳入运输理赔。",签收后12小时内反馈,液体材料建议优先当场开箱查验
破损理赔,冷补料,"包装袋破损但材料未污染、未散失的，可按实际情况补偿包装损耗；材料大面积散落、进水或污染需提供照片和称重/数量记录。",签收后12小时内反馈,雨天运输需重点检查受潮情况
质量投诉,冷补料（沥青冷拌料）,"若出现压实后严重松散、粘结不足、明显油石分离等问题，需提供施工温度、基层清理情况、压实方式、修补厚度和现场照片。经核实为产品质量问题的，可补发或退款。",施工后7天内反馈,未按分层压实或坑槽积水施工会影响判定
质量投诉,聚氨酯喷涂,"若出现大面积空鼓、脱粘、发泡异常、厚度不足等问题，需提供基层照片、施工记录、厚度检测记录和现场环境信息。经核实为施工或材料问题的，安排返修。",施工后7天内反馈,基层含水率过高、低温或雨天施工会影响质量
质量投诉,防水卷材,"若出现搭接开口、空鼓、起皱、穿孔或渗漏，需提供施工节点照片、搭接宽度、热熔/焊接记录、闭水或淋水测试结果。",施工后15天内反馈,人为穿刺和后续交叉施工破坏需区分责任
质量投诉,防水涂料,"若出现起泡、开裂、粉化、脱落或闭水失败，需提供基层含水率、涂刷遍数、单遍厚度、养护时间和闭水测试记录。",施工后15天内反馈,一次厚涂、基层潮湿或未养护会影响判定
质量投诉,砂浆/瓷砖胶,"若出现粘结强度不足、空鼓、开裂、掉砖等问题，需提供基层处理、配水比例、开放时间、施工温度和样板照片。",施工后15天内反馈,私自加水泥或过量加水不纳入产品质量责任
质量投诉,结构胶/密封胶,"若出现固化异常、开裂、脱粘或污染，需提供批号、施工温湿度、基层材质、清洁方式和相容性测试情况。",施工后30天内反馈,幕墙结构胶项目需先做相容性和粘结性测试
质保,冷补料（沥青冷拌料）,"正常基层处理、分层压实和合理交通荷载条件下，冷补料修补部位提供短期使用质量跟踪。因基层继续沉降、排水不良或超载导致的二次破损不属于材料质保。",施工后30天内,适用于小面积坑槽应急修补，不等同热拌沥青永久路面质保
质保,聚氨酯喷涂保温,"正常使用且有保护层条件下，聚氨酯喷涂保温层提供保温性能和粘结质量保障；长期裸露、紫外老化、机械破坏不纳入质保。",工程验收后2年,具体质保以项目合同和验收记录为准
质保,防水卷材,"按系统做法施工并通过闭水/淋水验收的防水卷材，提供材料质量保障。后续开孔、穿刺、结构开裂、基层沉降引发的渗漏需单独判定。",材料质保5年,工程质保以施工合同为准
质保,防水涂料,"按推荐厚度、遍数和养护条件施工并验收通过的防水涂膜，提供材料质量保障。基层开裂、长期泡水场景误用或未做保护层造成损坏不纳入质保。",材料质保3年,室内防水建议保留闭水试验记录
质保,保温板材,"保温板材在正常运输、存放和系统施工条件下提供材料性能保障。露天暴晒、受潮、火烧、重压变形或私自切割造成损坏不纳入质保。",材料质保5年,外墙系统需配套粘结、锚固、抹面和饰面层
施工支持,冷补料（沥青冷拌料）,"施工前需清除坑槽内松散物、浮灰和积水；较深坑槽建议分层摊铺、分层压实；边缘宜切齐，提高修补边界稳定性。",施工前咨询即可,可提供用量估算和施工步骤说明
施工支持,聚氨酯喷涂,"喷涂前基层需干燥、洁净、牢固；雨天、大风、低温或基层含水率高时不建议施工；喷涂后应及时做保护层。",开工前确认施工条件,需现场设备和专业施工人员
施工支持,防水卷材,"施工前基层应平整、坚实、干燥或符合湿铺要求；阴阳角、管根、落水口等节点需先做附加层；卷材搭接必须压实密封。",施工前技术交底,可提供节点做法建议
施工支持,防水涂料,"基层应坚实、无浮灰、无明水；阴阳角建议做圆弧或附加增强；涂刷需薄涂多遍，前一遍表干后再做下一遍。",施工前技术交底,闭水试验通常在防水层固化后进行
施工支持,保温系统,"外墙保温需按系统施工，不能只看单一材料；保温板、粘结砂浆、锚栓、网格布、抹面砂浆和饰面层需匹配。",方案阶段即可咨询,高层和防火要求高项目建议人工复核
退款,全部产品,"退款申请审核通过后，按原支付路径或约定账户退款；已发生的物流费、施工服务费、定制加工费按合同或订单约定扣除。",审核通过后3-5个工作日,大额批发订单可能延长至7个工作日
发票,全部产品,"可按实际成交内容开具发票；开票信息需与合同或付款主体一致。退货退款后已开发票需按财务要求冲红或重开。",付款完成后申请,开票前需确认抬头、税号、地址电话和开户行
物流,保温板/卷材/砂浆,"大件或重货通常走物流专线；到货后需及时验货。偏远地区、上楼、卸货、二次搬运费用需提前确认。",下单前确认,运费以体积、重量、距离和卸货条件核算
定制,保温板/卷材/胶类,"特殊厚度、特殊规格、定制颜色、定制包装或项目专供批次，下单确认生产后原则上不支持无理由退换。",下单前确认,定制订单需确认图纸、规格和交期
